UniprotID,class
Q61835,1
P0C0S1,1
Q6Z2T3,2
Q40746,2
Q8L636,3
Q21121,3
Q9IAL7,3
Q9WU39,3
P76425,3
Q8IWT1,3
P35500,3
Q5U1X7,3
Q9WU38,3
Q8IVB4,3
Q8W4E7,3
G5EBM5,3
P48048,3
Q9ERS1,3
Q96T55,3
Q99712,3
P52191,3
Q12791,3
Q9ZTZ7,3
Q9M0Z3,3
Q9YDF8,3
P61829,3
P03928,3
Q8VHX0,3
P48549,3
Q9H427,3
Q8I4B0,3
O70596,3
Q14B80,3
P52192,3
Q6DHQ1,3
Q9XUC4,3
P07293,3
Q54LY6,3
Q9EYX5,3
Q99766,3
Q06538,3
P47818,3
O95180,3
P32798,3
Q24278,3
P26235,3
Q28139,3
Q7Z443,3
Q86LG1,3
Q6DBM8,3
Q8S1N1,3
Q1PE15,3
Q3EBY6,3
P24612,3
Q75HP9,3
Q8W4S4,3
P23968,3
Q9SZY7,3
Q9EPK8,3
Q21974,3
P34586,3
Q8TD43,3
Q15904,3
P41807,3
A8J6J0,4
P92946,4
Q9XI23,4
Q06598,4
O35454,4
P37002,4
Q55461,4
P25360,4
P12234,4
Q9M817,4
P58735,5
Q9BXS9,5
P33303,5
Q8LG88,5
P32847,5
Q1EBV7,5
Q9SFB0,5
P53311,5
Q9SJE9,5
P37327,5
P41036,6
Q9BRV3,6
Q7T384,6
Q66HX0,6
Q8K0H7,6
Q84L08,6
Q12520,6
P22732,6
Q8GY97,6
O95342,6
B1AT66,6
Q7RTX9,6
Q8ZKQ3,6
Q9LF50,6
Q94B65,6
P32386,6
P42905,6
Q08AI6,7
O34739,7
Q9JHE5,7
A0A1D8PNP3,7
P0AD99,7
O60146,7
Q04301,7
P43548,7
P11667,7
Q9URZ4,7
P57757,7
Q60DN5,7
Q12235,7
Q10227,7
Q04671,7
Q9BZV2,8
P0AGH5,8
P69423,8
P35179,8
P32897,8
Q8LPR8,8
P35818,8
Q02592,8
Q96A70,8
Q9NP61,8
Q9T091,8
P32839,8
Q9P5N0,8
Q9NP78,8
Q9W552,8
P53134,8
P39719,9
Q20799,9
O43868,10
Q9LZD0,10
P0AGM9,10
Q9DFS4,11
Q9GQQ0,11
Q91X85,11
P0AAG0,11
Q6X893,11
Q99PE8,11
O43000,11
Q9BZF2,11
P16258,11
P39352,11
P69831,11
