"UniProtID","functional_class"
"F1LQ70","Enzyme"
"P48999","Enzyme"
"Q9AWU4","Enzyme"
"Q5ZE00","Enzyme"
"Q98ST7","Enzyme"
"Q3MHW9","Enzyme"
"P20070","Enzyme"
"Q00141","Enzyme"
"Q3SYT8","Enzyme"
"Q27597","Enzyme"
"Q8GWA1","Enzyme"
"Q949X9","Enzyme"
"Q94BV7","Enzyme"
"Q35322","Enzyme"
"P32340","Enzyme"
"Q672J9","Enzyme"
"Q15738","Enzyme"
"P56632","Enzyme"
"Q94511","Enzyme"
"Q0MQG8","Enzyme"
"P19404","Enzyme"
"Q8LEU3","Enzyme"
"Q9JHI8","Enzyme"
"A5F5Y5","Enzyme"
"P03886","Enzyme"
"O75306","Enzyme"
"Q88FX8","Enzyme"
"Q9TUX8","Enzyme"
"Q9X4Q8","Enzyme"
"Q64FG0","Enzyme"
"Q8VCH7","Enzyme"
"O75452","Enzyme"
"Q5BLE8","Enzyme"
"O18765","Enzyme"
"Q8VYI1","Enzyme"
"O88822","Enzyme"
"Q28ED0","Enzyme"
"Q9LDU6","Enzyme"
"Q923B6","Enzyme"
"P0DKI7","Enzyme"
"P36209","Enzyme"
"Q84KI1","Enzyme"
"P38992","Enzyme"
"Q8TC12","Enzyme"
"Q92781","Enzyme"
"Q5ZAJ0","Enzyme"
"Q9FIJ0","Enzyme"
"Q7TQA3","Enzyme"
"Q9N126","Enzyme"
"Q8LDU4","Enzyme"
"Q2KIA4","Enzyme"
"P0AC41","Enzyme"
"Q8LB02","Enzyme"
"P21913","Enzyme"
"Q74FU6","Enzyme"
"Q99PL7","Enzyme"
"Q03529","Enzyme"
"Q9SS48","Enzyme"
"Q9FJP9","Enzyme"
"Q28891","Enzyme"
"Q09545","Enzyme"
"P07014","Enzyme"
"Q6PBD1","Enzyme"
"Q74FU5","Enzyme"
"Q8CI59","Enzyme"
"Q54RQ1","Enzyme"
"P34461","Enzyme"
"A2RVM0","Enzyme"
"Q99190","Enzyme"
